cv,seed,risk_C,descriptor_set,val_macro_f1,equal_weight_val_macro_f1,disagreement_vs_equal_weight,mean_weight_entropy,min_weight_entropy,expert_table_seconds,disagreement_vs_default_gate
5,42,1.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999902075708544,0.9972756722065519,62.60571770000024,0
5,42,10.0,all,0.8961983950209749,0.8961983950209749,0,0.999963680006053,0.9808473913615918,62.60571770000024,0
5,42,10.0,entropy,0.8961983950209749,0.8961983950209749,0,0.9999764764262639,0.9942143726733027,62.60571770000024,0
5,42,10.0,margin,0.8961983950209749,0.8961983950209749,0,0.999983478147895,0.9943150003959658,62.60571770000024,0
5,2024,0.01,all,0.8957955988466703,0.8957955988466703,0,0.9999965418885352,0.9990742917347848,69.54642609999974,0
5,2024,0.01,entropy,0.8957955988466703,0.8957955988466703,0,0.9999989385828194,0.9998530926052321,69.54642609999974,0
5,2024,0.01,margin,0.8957955988466703,0.8957955988466703,0,0.9999987172921018,0.9996660389272446,69.54642609999974,0
5,2024,0.1,all,0.8957955988466703,0.8957955988466703,0,0.9999931520395207,0.9981231241794436,69.54642609999974,0
5,2024,0.1,entropy,0.8957955988466703,0.8957955988466703,0,0.9999964821195512,0.9991340287374276,69.54642609999974,0
5,2024,0.1,margin,0.8957955988466703,0.8957955988466703,0,0.999996844130153,0.9993316118997967,69.54642609999974,0
5,2024,1.0,all,0.8957955988466703,0.8957955988466703,0,0.9999824738574065,0.9968541500683958,69.54642609999974,0
5,2024,1.0,entropy,0.8957955988466703,0.8957955988466703,0,0.9999895562499839,0.9958949387406228,69.54642609999974,0
5,2024,1.0,margin,0.8957955988466703,0.8957955988466703,0,0.9999928005596159,0.9987878040819728,69.54642609999974,0
5,2024,10.0,all,0.8957955988466703,0.8957955988466703,0,0.9999744479296457,0.9949641442903184,69.54642609999974,0
5,2024,10.0,entropy,0.8957955988466703,0.8957955988466703,0,0.9999825718591807,0.9934676195921316,69.54642609999974,0
5,2024,10.0,margin,0.8957955988466703,0.8957955988466703,0,0.9999886822124534,0.997958745875021,69.54642609999974,0
5,3407,0.01,all,0.8960237649806224,0.8951809283091464,2,0.9999968087456106,0.9995287817738492,69.1690922000007,1
5,3407,0.01,entropy,0.8960237649806224,0.8951809283091464,2,0.9999982404182738,0.9998167170214477,69.1690922000007,1
5,3407,0.01,margin,0.8951809283091464,0.8951809283091464,0,0.9999987043486885,0.999782085997308,69.1690922000007,3
5,3407,0.1,all,0.8950280906261252,0.8951809283091464,3,0.9999930554967145,0.9990406103740747,69.1690922000007,0
5,3407,0.1,entropy,0.8960237649806224,0.8951809283091464,2,0.9999944986109306,0.9990217234800106,69.1690922000007,1
5,3407,0.1,margin,0.8956012361308199,0.8951809283091464,1,0.9999969322058422,0.9987062562678243,69.1690922000007,2
5,3407,1.0,all,0.8950280906261252,0.8951809283091464,3,0.999985063323284,0.9960900621708345,69.1690922000007,0
5,3407,1.0,entropy,0.8950280906261252,0.8951809283091464,3,0.999986763780217,0.9969289708662289,69.1690922000007,0
5,3407,1.0,margin,0.8956012361308199,0.8951809283091464,1,0.9999925728003897,0.9966843725104086,69.1690922000007,2
5,3407,10.0,all,0.8950280906261252,0.8951809283091464,3,0.9999827358966411,0.9962288764637854,69.1690922000007,0
5,3407,10.0,entropy,0.8950280906261252,0.8951809283091464,3,0.9999816684287117,0.9961616134690733,69.1690922000007,0
5,3407,10.0,margin,0.8960237649806224,0.8951809283091464,2,0.9999915595778004,0.9941086562719225,69.1690922000007,1
10,42,0.01,all,0.8961983950209749,0.8961983950209749,0,0.9999976503484714,0.9996348292909919,125.83506240000042,0
10,42,0.01,entropy,0.8961983950209749,0.8961983950209749,0,0.9999987070708711,0.999828784308014,125.83506240000042,0
10,42,0.01,margin,0.8961983950209749,0.8961983950209749,0,0.9999992359484953,0.9999211793192829,125.83506240000042,0
10,42,0.1,all,0.8961983950209749,0.8961983950209749,0,0.9999956391814353,0.999082441054598,125.83506240000042,0
10,42,0.1,entropy,0.8961983950209749,0.8961983950209749,0,0.9999963687848235,0.9992116421530273,125.83506240000042,0
10,42,0.1,margin,0.8961983950209749,0.8961983950209749,0,0.9999986776015527,0.9997133452693062,125.83506240000042,0
10,42,1.0,all,0.8961983950209749,0.8961983950209749,0,0.9999876766118557,0.9964835160176593,125.83506240000042,0
10,42,1.0,entropy,0.8961983950209749,0.8961983950209749,0,0.9999873835916032,0.9959130126658344,125.83506240000042,0
10,42,1.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999970659097486,0.9988483625874055,125.83506240000042,0
10,42,10.0,all,0.8961983950209749,0.8961983950209749,0,0.999981860921583,0.9933980987947632,125.83506240000042,0
10,42,10.0,entropy,0.8961983950209749,0.8961983950209749,0,0.9999830709608963,0.9927701573549347,125.83506240000042,0
10,42,10.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999943317194903,0.9958489552194776,125.83506240000042,0
10,2024,0.01,all,0.8957955988466703,0.8957955988466703,0,0.9999947066622722,0.9980204826852573,133.11961229999997,0
10,2024,0.01,entropy,0.8957955988466703,0.8957955988466703,0,0.9999983922040923,0.9997638291072407,133.11961229999997,0
10,2024,0.01,margin,0.8957955988466703,0.8957955988466703,0,0.9999978538564029,0.9994403987859887,133.11961229999997,0
10,2024,0.1,all,0.8957955988466703,0.8957955988466703,0,0.9999917025409282,0.9980700142500799,133.11961229999997,0
10,2024,0.1,entropy,0.8957955988466703,0.8957955988466703,0,0.9999950118054671,0.9991261382552933,133.11961229999997,0
10,2024,0.1,margin,0.8957955988466703,0.8957955988466703,0,0.999996012496033,0.9987384008543078,133.11961229999997,0
10,2024,1.0,all,0.8957955988466703,0.8957955988466703,0,0.9999854992782953,0.996788709783165,133.11961229999997,0
10,2024,1.0,entropy,0.8957955988466703,0.8957955988466703,0,0.9999859326027736,0.9976417169949093,133.11961229999997,0
10,2024,1.0,margin,0.8957955988466703,0.8957955988466703,0,0.9999952195415337,0.9989628113295497,133.11961229999997,0
10,2024,10.0,all,0.8957955988466703,0.8957955988466703,0,0.9999819752513103,0.9959576828147962,133.11961229999997,0
10,2024,10.0,entropy,0.8957955988466703,0.8957955988466703,0,0.9999818455455995,0.9972928060564491,133.11961229999997,0
10,2024,10.0,margin,0.8957955988466703,0.8957955988466703,0,0.9999939314633278,0.9984065963466305,133.11961229999997,0
10,3407,0.01,all,0.8956012361308199,0.8951809283091464,1,0.9999952944335917,0.9992485465044907,117.96623040000031,1
10,3407,0.01,entropy,0.8956012361308199,0.8951809283091464,1,0.999998612101873,0.9997972168261224,117.96623040000031,1
10,3407,0.01,margin,0.8951809283091464,0.8951809283091464,0,0.9999987404862525,0.9998214455543291,117.96623040000031,2
10,3407,0.1,all,0.8960237649806224,0.8951809283091464,2,0.9999900528371759,0.9976026418660315,117.96623040000031,0
10,3407,0.1,entropy,0.8960237649806224,0.8951809283091464,2,0.9999947960667986,0.9988173700082875,117.96623040000031,0
10,3407,0.1,margin,0.8956012361308199,0.8951809283091464,1,0.9999969665052896,0.9994514411847639,117.96623040000031,1
10,3407,1.0,all,0.8960237649806224,0.8951809283091464,2,0.999976885509802,0.994939615533009,117.96623040000031,0
10,3407,1.0,entropy,0.8960237649806224,0.8951809283091464,2,0.9999860104515749,0.9961222796783121,117.96623040000031,0
10,3407,1.0,margin,0.8956012361308199,0.8951809283091464,1,0.9999941804982828,0.9968362509349861,117.96623040000031,1
10,3407,10.0,all,0.8960237649806224,0.8951809283091464,2,0.9999727913343236,0.9934791199786173,117.96623040000031,0
10,3407,10.0,entropy,0.8960237649806224,0.8951809283091464,2,0.9999807587823188,0.9949372931150998,117.96623040000031,0
10,3407,10.0,margin,0.8956012361308199,0.8951809283091464,1,0.9999912432409969,0.9942734054925446,117.96623040000031,1
