method,seed,class,bin,prob_true,prob_pred
chi2,2024,Normal,4,0.3333333333333333,0.4328332229675595
chi2,2024,Normal,5,0.75,0.5329787421191867
chi2,2024,Normal,6,1.0,0.659644725342002
chi2,2024,Normal,7,0.8333333333333334,0.763267469222888
chi2,2024,Normal,8,1.0,0.8488024354755367
chi2,2024,Normal,9,1.0,0.9834265744722356
chi2,2024,Web Attack,0,0.0,0.005103668226146571
chi2,2024,Web Attack,1,0.2,0.1593202944620797
chi2,2024,Web Attack,2,0.0,0.2244141584849647
chi2,2024,Web Attack,3,0.8,0.3509884442536978
chi2,2024,Web Attack,4,0.6,0.4644354250734274
chi2,2024,Web Attack,5,0.5714285714285714,0.5638364220912085
chi2,2024,Web Attack,6,1.0,0.6476077506518922
chi2,2024,Web Attack,7,1.0,0.7491736427127214
chi2,2024,Web Attack,8,0.8095238095238095,0.8632139477388241
chi2,2024,Web Attack,9,0.953125,0.9600633110221972
mutual_info,2024,Bot,0,0.0,0.0014114085880748862
mutual_info,2024,Bot,1,0.0,0.17221753241233267
mutual_info,2024,Bot,2,0.0,0.2518560105123964
mutual_info,2024,Bot,3,0.0,0.32316460656762713
mutual_info,2024,Bot,4,0.0,0.41177676995337154
mutual_info,2024,Bot,5,1.0,0.5609696474604734
mutual_info,2024,Bot,6,1.0,0.6773631417706848
mutual_info,2024,Bot,7,1.0,0.7390355401001196
mutual_info,2024,Bot,8,1.0,0.8303344821826287
mutual_info,2024,Bot,9,1.0,0.9878315539306014
mutual_info,2024,Brute Force,0,0.013404825737265416,0.011161907988912234
mutual_info,2024,Brute Force,1,0.09523809523809523,0.135588771080628
mutual_info,2024,Brute Force,2,0.2857142857142857,0.26469223173827927
mutual_info,2024,Brute Force,3,0.14285714285714285,0.3478120256119784
mutual_info,2024,Brute Force,4,0.25,0.4600685838920526
mutual_info,2024,Brute Force,5,0.5,0.5488462808759522
mutual_info,2024,Brute Force,6,0.5,0.6452353471788981
mutual_info,2024,Brute Force,7,0.0,0.7739599344257005
mutual_info,2024,Brute Force,8,1.0,0.8672736594245171
mutual_info,2024,Brute Force,9,1.0,0.9975741563403706
mutual_info,2024,DoS/DDoS,0,0.0,0.003544037553815267
mutual_info,2024,DoS/DDoS,1,0.2857142857142857,0.14289807467679175
mutual_info,2024,DoS/DDoS,2,0.0,0.21949586417434208
mutual_info,2024,DoS/DDoS,3,0.0,0.36065883611958993
mutual_info,2024,DoS/DDoS,4,0.5,0.4703426186709375
mutual_info,2024,DoS/DDoS,5,0.0,0.5516640527861311
mutual_info,2024,DoS/DDoS,6,1.0,0.6255964293835806
mutual_info,2024,DoS/DDoS,7,1.0,0.8729361756720705
mutual_info,2024,DoS/DDoS,8,1.0,0.9930822136841827
mutual_info,2024,Normal,0,0.0,0.008640293803076056
mutual_info,2024,Normal,1,0.0,0.13454251411624008
mutual_info,2024,Normal,2,0.08333333333333333,0.25652308047661326
mutual_info,2024,Normal,3,0.5,0.35231946630771416
mutual_info,2024,Normal,4,0.0,0.46765123594994396
mutual_info,2024,Normal,5,0.8,0.5680237137773221
mutual_info,2024,Normal,6,1.0,0.6447447291404256
mutual_info,2024,Normal,7,0.875,0.7522118700943538
mutual_info,2024,Normal,8,1.0,0.8586433099696038
mutual_info,2024,Normal,9,1.0,0.9822935850175238
mutual_info,2024,Web Attack,0,0.0,0.004336666186650649
mutual_info,2024,Web Attack,1,0.0,0.14690857296546322
mutual_info,2024,Web Attack,2,0.5,0.2499846469192193
mutual_info,2024,Web Attack,3,0.5,0.35629960455363885
mutual_info,2024,Web Attack,4,1.0,0.462396233479932
mutual_info,2024,Web Attack,5,0.5714285714285714,0.5539070974672863
mutual_info,2024,Web Attack,6,0.8,0.6595520797385486
mutual_info,2024,Web Attack,7,1.0,0.7457769273986014
mutual_info,2024,Web Attack,8,0.8333333333333334,0.8637182172606798
mutual_info,2024,Web Attack,9,0.9411764705882353,0.9587571266256567
anova,2024,Bot,0,0.0,0.0012818830307257344
anova,2024,Bot,1,0.0,0.14845091831660392
anova,2024,Bot,2,0.0,0.22063372741274612
anova,2024,Bot,3,0.0,0.3555638292285872
anova,2024,Bot,4,1.0,0.5736388042258974
anova,2024,Bot,5,1.0,0.7404384611127033
anova,2024,Bot,6,1.0,0.8334979834870431
anova,2024,Bot,7,1.0,0.9847868897064637
anova,2024,Brute Force,0,0.016,0.011976935758760243
anova,2024,Brute Force,1,0.058823529411764705,0.13755888802866392
anova,2024,Brute Force,2,0.3,0.2508904481275036
anova,2024,Brute Force,3,0.0,0.3281498047860012
anova,2024,Brute Force,4,0.0,0.44328966568026945
anova,2024,Brute Force,5,0.75,0.5549636213574911
anova,2024,Brute Force,6,0.0,0.6918649150234727
anova,2024,Brute Force,7,1.0,0.8366709496854989
anova,2024,Brute Force,8,1.0,0.9969616668201441
anova,2024,DoS/DDoS,0,0.0025252525252525255,0.0036349258808295736
anova,2024,DoS/DDoS,1,0.2,0.1438724683572709
anova,2024,DoS/DDoS,2,0.0,0.23678183980563708
anova,2024,DoS/DDoS,3,0.5,0.46951182010490744
anova,2024,DoS/DDoS,4,0.5,0.63554652399001
anova,2024,DoS/DDoS,5,1.0,0.7589836617430625
anova,2024,DoS/DDoS,6,1.0,0.8582429165597045
anova,2024,DoS/DDoS,7,1.0,0.9889163812447727
anova,2024,Normal,0,0.005361930294906166,0.008649380083903487
anova,2024,Normal,1,0.0,0.1381265945281665
anova,2024,Normal,2,0.0,0.2412208993313019
anova,2024,Normal,3,0.5,0.3562109678151396
anova,2024,Normal,4,0.5,0.44779416404570466
anova,2024,Normal,5,0.0,0.5804999862730299
anova,2024,Normal,6,1.0,0.6537042790637735
anova,2024,Normal,7,0.8,0.7598328195119881
anova,2024,Normal,8,1.0,0.8517005460847988
anova,2024,Normal,9,1.0,0.982319081738393
anova,2024,Web Attack,0,0.0,0.004433822153733063
anova,2024,Web Attack,1,0.0,0.13356478084107837
anova,2024,Web Attack,2,0.4,0.27226996104573975
anova,2024,Web Attack,3,0.8,0.4505314944150859
anova,2024,Web Attack,4,0.75,0.5489246924556253
anova,2024,Web Attack,5,0.7142857142857143,0.6492634695158276
anova,2024,Web Attack,6,1.0,0.7675778029276724
anova,2024,Web Attack,7,0.8823529411764706,0.8619157489337607
anova,2024,Web Attack,8,0.9130434782608695,0.9523566476536192
all,3407,Bot,0,0.0,0.0016866828618790103
all,3407,Bot,1,0.0,0.12150056582811036
all,3407,Bot,2,0.0,0.23431000445946368
all,3407,Bot,3,0.0,0.3699592833238952
all,3407,Bot,4,0.0,0.42037186806711085
all,3407,Bot,5,1.0,0.5386525095866904
all,3407,Bot,6,1.0,0.6787432168790937
all,3407,Bot,7,1.0,0.7423913159990377
all,3407,Bot,8,1.0,0.8536549111725261
all,3407,Bot,9,1.0,0.9869573218656051
all,3407,Brute Force,0,0.010810810810810811,0.012837459764505461
all,3407,Brute Force,1,0.13636363636363635,0.1380210691858979
all,3407,Brute Force,2,0.18181818181818182,0.2529876172693867
