method,condition,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,rep,relative_macro_f1_drop
mutual_info,gaussian_noise_1pct,0.689108910891089,0.689108910891089,0.8374420384078025,0.689108910891089,0.691265959656522,7.0,0.2788200536116939
mutual_info,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.954860914662895,0.9544554455445544,0.95454282973435,7.0,0.004150085568783001
mutual_info,gaussian_noise_1pct,0.6534653465346535,0.6534653465346535,0.8179539409662047,0.6534653465346535,0.6455646083772748,8.0,0.32649909465953797
mutual_info,feature_mask_5pct,0.9643564356435643,0.9643564356435643,0.9653642979650489,0.9643564356435643,0.9644014166797709,8.0,-0.006135123915994478
mutual_info,gaussian_noise_1pct,0.6415841584158416,0.6415841584158416,0.796379797979798,0.6415841584158416,0.6315137131495758,9.0,0.34115803124605043
mutual_info,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9550706157037435,0.9544554455445544,0.9545563153016952,9.0,0.00413601642419526
anova,clean,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,,0.0
anova,gaussian_noise_1pct,0.6871287128712872,0.6871287128712871,0.7944641855878479,0.6871287128712871,0.6853898942345886,0.0,0.28346843376637704
anova,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9552910659487001,0.9544554455445544,0.9544899068838222,0.0,0.0021414764257323715
anova,gaussian_noise_1pct,0.7207920792079208,0.7207920792079208,0.8117182434423814,0.7207920792079208,0.7202324860440799,1.0,0.24704271886905685
anova,feature_mask_5pct,0.9485148514851485,0.9485148514851485,0.9491556702840096,0.9485148514851485,0.9486870911620688,1.0,0.008207951395160337
anova,gaussian_noise_1pct,0.7227722772277227,0.7227722772277227,0.8214923047870833,0.7227722772277227,0.7243020012388808,2.0,0.2427882994198197
anova,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9552722386724654,0.9544554455445544,0.9545876683019348,2.0,0.0020392730774970572
anova,gaussian_noise_1pct,0.700990099009901,0.700990099009901,0.8189113211270913,0.700990099009901,0.7034651504015261,3.0,0.2645719024338961
anova,feature_mask_5pct,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,3.0,0.0
anova,gaussian_noise_1pct,0.7247524752475247,0.7247524752475247,0.8145408272746053,0.7247524752475247,0.7298049985196677,4.0,0.23703526557185922
anova,feature_mask_5pct,0.9564356435643564,0.9564356435643564,0.957475537027387,0.9564356435643564,0.95657013013612,4.0,-3.326475096552103e-05
anova,gaussian_noise_1pct,0.7148514851485148,0.7148514851485148,0.8121830257029498,0.7148514851485148,0.7095292706445517,5.0,0.25823225019782603
anova,feature_mask_5pct,0.9504950495049505,0.9504950495049505,0.9513239831326257,0.9504950495049505,0.9506912606364283,5.0,0.006112719608785515
anova,gaussian_noise_1pct,0.699009900990099,0.699009900990099,0.7952821836265682,0.699009900990099,0.6924596157489483,6.0,0.27607748932419673
anova,feature_mask_5pct,0.9564356435643564,0.9564356435643564,0.957834355044511,0.9564356435643564,0.9566011803150758,6.0,-6.572573929663625e-05
anova,gaussian_noise_1pct,0.7366336633663366,0.7366336633663366,0.8393280238449314,0.7366336633663366,0.742922011125734,7.0,0.223322262701534
anova,feature_mask_5pct,0.9524752475247524,0.9524752475247524,0.9531061684266074,0.9524752475247524,0.9526046829212447,7.0,0.004112358240550133
anova,gaussian_noise_1pct,0.697029702970297,0.697029702970297,0.8016020007852006,0.697029702970297,0.6952850941567237,8.0,0.27312363125609157
anova,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9552385633977213,0.9544554455445544,0.9546100964861125,8.0,0.002015825836631908
